"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
3403,"Kyiv",2910,450,"Software Engineer",3,1,"Java",,26,"female","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутсорсинговая","ERP, Travel"
3404,"Kharkiv",2900,600,"Senior Software Engineer",6,"0.25","Ruby/Rails",,28,"male","Высшее","ХНЭУ","False","средний","до 10 человек","Стартап","Big Data"
3405,"Kyiv",2900,200,"Data Scientist",2,"0.25",,,25,"male","Высшее","КНУ им. Шевченко","False","средний","до 1000 человек","Продуктовая","E-commerce, Machine Learning"
3406,"Херсон",2900,800,"Software Engineer",5,1,"PHP",,37,"male","Высшее","Other вуз","False","средний","до 10 человек","Аутстаффинговая","Adtech"
3407,"Dnipro",2900,0,"QA Engineer",10,9,,"General QA",37,"male","Высшее","ДНУ им. Гончара","False","средний","до 200 человек","Продуктовая","E-commerce, ERP, Legal"
3408,"Lviv",2900,1000,"Senior Software Engineer",3,3,"Java",,25,"male","Высшее","Lvivская Политехника","False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
3409,"Lviv",2900,200,"Software Engineer",5,2,"C#/.NET",,25,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Edtech"
3410,"Kyiv",2900,0,"Senior QA engineer",7,1,,"Automation QA",32,"male","Высшее","Other вуз","False","средний","до 50 человек","Продуктовая","E-commerce"
3411,"Chernivtsi",2900,0,"Senior Software Engineer",10,2,"PHP",,38,"male","Высшее","ЧНУ им. Федьковича","False","средний","до 200 человек","Аутстаффинговая","Інша"
3412,"Lviv",2900,500,"Software Engineer",4,"0.25","JavaScript",,25,"male","Высшее","Lvivская Политехника","False","выше среднего","до 10 человек","Продуктовая","Travel"
3413,"Kyiv",2900,900,"Data Scientist",3,"0.5",,,24,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Data Science, Machine Learning"
3414,"Kyiv",2900,200,"Software Engineer",4,2,"C#/.NET",,23,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Аутстаффинговая","Інша"
3415,"Kyiv",2900,1800,"Senior QA engineer",3,"0.25",,"Automation QA",24,"female","Высшее","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Gambling"
3416,"Kharkiv",2900,400,"Product Manager",7,2,,,25,"female","Высшее","ХНУРЭ","False","выше среднего","до 1000 человек","Продуктовая","Інша"
3417,"Kyiv",2900,400,"Senior Software Engineer",4,1,"Kotlin",,28,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","Logistics, Mobile, Uberfication"
3418,"Lviv",2900,0,"Senior QA engineer",4,1,,"General QA",30,"male","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутстаффинговая","E-commerce"
3419,"Lviv",2900,400,"Business analyst",5,1,,,31,"male","Два высших","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Logistics"
3420,"Lviv",2900,600,"Software Engineer",4,2,"TypeScript",,27,"male","Незаконченное высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
3421,"Kharkiv",2900,150,"Senior Software Engineer",7,7,"Java",,28,"male","Незаконченное высшее",,"False","продвинутый","свыше 1000 человек","Аутсорсинговая","E-commerce, Mobile, Інша"
3422,"Ivano-Frankivsk",2900,400,"Senior Software Engineer",7,1,"JavaScript",,27,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Fintech"
3423,"Kharkiv",2900,200,"Product Manager",10,10,,,45,"male","Высшее","НТУ «ХПИ»","False","средний","до 200 человек","Продуктовая","Інша"
3424,"Kyiv",2900,-700,"Team/Technical Lead",8,2,"JavaScript",,29,"male","Высшее","ЖГТУ","False","ниже среднего","до 1000 человек","Продуктовая","Інша"
3425,"Kyiv",2900,600,"Software Engineer",2,0,"Java",,24,"male","Высшее","НУПТ","False","средний","до 200 человек","Аутсорсинговая","Інша"
3426,"Kharkiv",2900,0,"Project manager",3,10,,,39,"female","Высшее","ХАИ","False","средний","до 200 человек","Аутсорсинговая","Logistics"
3427,"Kyiv",2900,400,"DevOps",5,2,,,26,"male","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Security"
3428,"Kyiv",2900,700,"Software Engineer",4,"0.5","C#/.NET",,28,"male","Высшее","КНУ им. Шевченко","False","средний","свыше 1000 человек","Аутсорсинговая","Legal"
3429,"Odessa",2900,200,"Senior QA engineer",9,9,,"General QA",30,"male","Высшее","ОНАС","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce, Embedded, Telecom"
3430,"Kyiv",2900,400,"Software Engineer",4,2,"TypeScript",,24,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутстаффинговая","E-commerce"
3431,"Vinnytsia",2900,-100,"Senior Software Engineer",10,10,"Swift",,41,"male","Высшее","ВНТУ","False","средний","до 50 человек","Продуктовая","AR/VR, Mobile"
3432,"Lviv",2900,1400,"Software Engineer",2,"0.25","Java",,31,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Інша"
3433,"Kharkiv",2900,400,"Senior QA engineer",5,2,,"Manual QA",29,"male","Высшее","ХАИ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Mobile"
3434,"Полтава",2900,1200,"Senior Software Engineer",10,0,"Rust",,32,"male","Высшее","Other вуз","False","выше среднего","до 50 человек","Стартап","Blockchain"
3435,"Dnipro",2900,250,"Senior Software Engineer",10,1,"Java",,39,"male","Высшее","ДНУ им. Гончара","False","ниже среднего","до 200 человек","Аутсорсинговая","Fintech"
3436,"Луцк",2900,0,"Senior Software Engineer",5,"0.5","Kotlin",,32,"male","Высшее","Other вуз","False","выше среднего","до 10 человек","Стартап","Mobile"
3437,"Житомир",2900,300,"Senior Software Engineer",7,4,"TypeScript",,29,"male","Высшее","ЖГТУ","False","ниже среднего","свыше 1000 человек","Аутсорсинговая","Telecom"
3438,"Lviv",2900,400,"Team/Technical Lead",6,5,"Swift",,26,"male","Высшее","Lvivская Политехника","False","продвинутый","до 50 человек","Аутсорсинговая","E-commerce, Mobile, Security"
3439,"Kyiv",2900,250,"Senior Software Engineer",8,4,"PHP",,31,"male","Высшее",,"False","ниже среднего","до 1000 человек","Продуктовая","Інша"
3440,"Kyiv",2900,0,"Designer",10,5,,,32,"male","Незаконченное высшее","Other вуз","False","ниже среднего","до 200 человек","Продуктовая","Fintech"
3441,"Kyiv",2900,-300,"Designer",8,5,,,32,"female","Высшее","НТУУ «КПИ»","False","выше среднего","до 50 человек","Продуктовая","Інша"
3442,"Хмельницкий",2900,0,"Software Engineer",8,8,"TypeScript",,29,"male","Высшее","ХНУ [г. Хмельницкий]","False","средний","до 50 человек","Аутсорсинговая","Travel"
3443,"Dnipro",2900,0,"Software Engineer",7,4,"JavaScript",,30,"female","Высшее","ДНУЖТ","False","выше среднего","свыше 1000 человек","Продуктовая","Інша"
3444,"Kharkiv",2900,300,"Senior Software Engineer",7,5,"C#/.NET",,27,"male","Высшее","ХНУРЭ","False","выше среднего","до 200 человек","Продуктовая","Big Data, Data Science, Medtech"
3445,"Kharkiv",2900,600,"Senior Software Engineer",8,0,"PHP",,33,"male","Высшее","ХАИ","False","средний","до 50 человек","Аутстаффинговая","E-commerce"
3446,"Kyiv",2900,400,"Software Engineer",6,1,"PHP",,24,"male","Высшее","КНУТД","False","выше среднего","до 1000 человек","Продуктовая","Інша"
3447,"Lviv",2900,800,"Software Engineer",3,1,"C#/.NET",,25,"male","Высшее","Lvivская Политехника","False","выше среднего","до 200 человек","Продуктовая","Uberfication"
3448,"Kyiv",2900,300,"Software Engineer",10,2,"Perl",,33,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","Travel"
3449,"Kyiv",2900,900,"Software Engineer",3,1,"Dart",,33,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Аутстаффинговая","Automotive, Mobile, Robotics"
3450,"Lviv",2900,0,"Software Engineer",4,1,"JavaScript",,25,"male","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
3451,"Kharkiv",2900,400,"Designer",8,1,,,31,"female","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
3452,"Odessa",2900,200,"Senior Software Engineer",8,4,"TypeScript",,30,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутстаффинговая","Machine Learning"
3453,"Dnipro",2900,200,"Senior Software Engineer",10,2,"Swift",,36,"male","Высшее","ДНУ им. Гончара","False","выше среднего","до 10 человек","Продуктовая","E-commerce"
3454,"Odessa",2900,300,"QA Tech Lead",5,3,,"Manual QA",26,"female","Высшее",,"False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce"
3455,"Lviv",2900,1200,"Software Engineer",4,"0.5","JavaScript",,35,"female","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутстаффинговая","Інша"
3456,"Kyiv",2900,350,"Software Engineer",5,1,"Dart",,27,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Agriculture, Інша"
3457,"Kyiv",2900,200,"DevOps",4,2,,,27,"male","Незаконченное высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
3458,"Kyiv",2900,400,"Data Engineer",10,1,,,34,"male","Высшее","ВНУ им. Даля","False","средний","до 200 человек","Аутсорсинговая","Big Data"
3459,"Полтава",2900,1500,"Data Analyst",3,2,,,25,"male","Техникум / Колледж",,"False","средний","до 50 человек","Аутсорсинговая","Mobile"
3460,"Dnipro",2900,0,"Senior QA engineer",10,8,,"Automation QA",33,"female","Высшее","ДНУ им. Гончара","False","выше среднего","до 200 человек","Продуктовая","Інша"
3461,"Lviv",2900,300,"Senior Software Engineer",10,5,"JavaScript",,38,"male","Высшее",,"False","выше среднего","до 1000 человек","Аутстаффинговая","Gambling"
3462,"Dnipro",2900,300,"Software Engineer",8,1,"Swift",,32,"male","Высшее","ДНУЖТ","False","выше среднего","до 1000 человек","Аутсорсинговая","Media"
3463,"Lviv",2900,200,"Senior QA engineer",5,2,,"Automation QA",27,"female","Высшее","ЛНУ им. Франко","False","продвинутый","до 50 человек","Аутстаффинговая","Інша"
3464,"Kyiv",2900,0,"Product Owner",4,6,,,30,"male","Два высших","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","ERP, Інша"
3465,"Kharkiv",2888,540,"Software Engineer",5,1,"C#/.NET",,23,"female","Высшее","НТУ «ХПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
3466,"Kyiv",2880,880,"Software Engineer",5,"0.25","PHP",,31,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Fintech, Legal"
3467,"Lviv",2875,300,"Software Engineer",4,"0.25","JavaScript",,24,"male","Высшее","НАУ","False","средний","свыше 1000 человек","Аутсорсинговая","ERP"
3468,"Запорожье",2860,600,"Software Engineer",10,3,"Golang",,35,"male","Высшее","Other вуз","False","средний","до 10 человек","Стартап","Blockchain, Fintech, High Load Systems"
3469,"Kyiv",2850,2350,"Senior Software Engineer",6,3,"Java",,29,"female","Высшее","НАУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Fintech"
3470,"Odessa",2850,1550,"Software Engineer",3,3,"Golang",,24,"female","Высшее","ОНУ им. Мечникова","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Big Data, Data Science, Media"
3471,"Lviv",2850,1650,"Marketing",3,"0.25",,,24,"female","Высшее","ЛНУ им. Франко","False","продвинутый","до 50 человек","Продуктовая","Travel"
3472,"Kyiv",2850,250,"Software Engineer",4,"0.5","C#/.NET",,26,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Fintech"
3473,"Lviv",2850,900,"QA Tech Lead",4,3,,"Automation QA",29,"male","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Fintech"
3474,"Kyiv",2850,850,"Software Engineer",3,"0.5","Python",,33,"male","Кандидат","КНУ им. Шевченко","False","средний","до 200 человек","Продуктовая","E-commerce"
3475,"Kyiv",2850,350,"Software Engineer",5,0,"Java",,23,"female","Высшее","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутстаффинговая","E-commerce"
3476,"Kyiv",2850,400,"Software Engineer",3,0,"Kotlin",,25,"male","Высшее","НТУУ «КПИ»","False","ниже среднего","до 50 человек","Продуктовая","Internet of Things, Manufacturing, Mobile"
3477,"Kyiv",2850,400,"Senior QA engineer",7,1,,"General QA",31,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутстаффинговая","Data Science, Fintech"
3478,"Kyiv",2850,850,"Project manager",4,2,,,38,"female","Два высших","Other вуз","False","выше среднего","до 50 человек","Продуктовая","Інша"
3479,"Lviv",2850,1500,"Software Engineer",2,2,"Kotlin",,22,"male","Высшее","ЧГУ им. Петра Могилы","False","средний","до 200 человек","Продуктовая","Security"
3480,"Lviv",2850,1800,"Data Engineer",2,0,,,23,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Logistics"
3481,"Kyiv",2850,850,"DevOps",1,1,,,31,"male","Высшее","НУПТ","False","выше среднего","до 200 человек","Другая","E-commerce"
3482,"Odessa",2850,300,"Software Engineer",5,2,"Objective-C",,31,"male","Высшее","ДонНТУ","False","ниже среднего","до 200 человек","Продуктовая","Security"
3483,"Chernivtsi",2850,100,"Senior Software Engineer",7,2,"TypeScript",,30,"male","Высшее","ЧНУ им. Федьковича","False","продвинутый","до 1000 человек","Аутсорсинговая","Medtech"
3484,"Kyiv",2850,1000,"Software Engineer",4,3,"C",,23,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","Embedded"
3485,"Kyiv",2850,0,"Support",10,1,,,31,"male","Техникум / Колледж",,"False","средний","свыше 1000 человек","Аутсорсинговая","Logistics, Manufacturing"
3486,"Kyiv",2850,350,"Software Engineer",3,2,"C++",,27,"male","Незаконченное высшее","НАУ","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Embedded, Hardware, Telecom"
3487,"Kyiv",2850,850,"Customer Success",2,"0.25",,,24,"male","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Продуктовая","Інша"
3488,"Kyiv",2850,500,"Business analyst",5,2,,,32,"male","Высшее","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Аутстаффинговая","Інша"
3489,"Полтава",2850,900,"Project manager",3,4,,,27,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Аутсорсинговая","Gambling, GameDev"
3490,"Kyiv",2850,0,"Software Engineer",2,2,"Java",,31,"male","Высшее","НАУ","False","продвинутый","свыше 1000 человек","Аутстаффинговая","Fintech"
3491,"Kyiv",2850,0,"Senior Software Engineer",3,3,"JavaScript",,39,"male","Два высших","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Media"
3492,"Dnipro",2850,300,"Senior Software Engineer",8,"0.5","Java",,31,"male","Высшее","ДНУ им. Гончара","False","средний","свыше 1000 человек","Аутсорсинговая","Cloud Computing, E-commerce"
3493,"Kharkiv",2850,300,"Senior QA engineer",6,2,,"General QA",30,"male","Высшее","ХНУ им. Каразина","False","средний","свыше 1000 человек","Аутстаффинговая","Mobile"
3494,"Kyiv",2850,500,"QA Engineer",3,"0.5",,"Automation QA",21,"male","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Telecom"
3495,"Kharkiv",2850,300,"Team/Technical Lead",10,3,"SQL",,36,"male","Высшее","Other вуз","False","средний","до 1000 человек","Продуктовая","High Load Systems"
3496,"Kharkiv",2850,250,"Senior QA engineer",7,1,,"Manual QA",30,"male","Высшее","НТУ «ХПИ»","False","выше среднего","до 50 человек","Продуктовая","Media"
3497,"Dnipro",2850,500,"Senior Software Engineer",7,2,"TypeScript",,28,"male","Высшее","НГУ [Dniproопетровск]","False","средний","до 200 человек","Продуктовая","Інша"
3498,"Kyiv",2850,400,"Support",7,1,,,29,"male","Высшее","ЧНТУ","False","выше среднего","до 50 человек","Стартап","Big Data, Data Science, Інша"
3499,"Dnipro",2850,600,"Data Engineer",3,3,,,25,"male","Высшее","ДНУ им. Гончара","False","средний","до 1000 человек","Продуктовая","Data Science, Geospatial, Machine Learning"
3500,"Kharkiv",2850,300,"Software Engineer",2,2,"JavaScript",,26,"male","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Media"
3501,"Kyiv",2850,500,"Software Engineer",3,1,"JavaScript",,25,"male","Высшее","Other вуз","False","средний","свыше 1000 человек","Аутсорсинговая","Logistics"
3502,"Kyiv",2850,400,"Senior QA engineer",6,2,,"Manual QA",30,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Продуктовая","Gambling, GameDev"
3503,"Kyiv",2850,0,"HR",10,1,,,38,"female","Высшее","Other вуз","False","продвинутый","свыше 1000 человек","Аутстаффинговая","E-commerce, Fintech"
3504,"Kharkiv",2850,250,"Senior Software Engineer",7,3,"Swift",,36,"male","Высшее","ХНУРЭ","False","средний","до 1000 человек","Аутстаффинговая","E-commerce"
3505,"Kyiv",2850,0,"Software Engineer",5,2,"JavaScript",,31,"male","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Аутстаффинговая","E-commerce, High Load Systems"
3506,"Kyiv",2850,-350,"Senior QA engineer",7,"0.25",,"General QA",29,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутсорсинговая","Fintech"
3507,"Kyiv",2850,1000,"QA Engineer",4,1,,"Automation QA",36,"male","Два высших","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Big Data, Data Science"
3508,"Kyiv",2850,200,"Senior QA engineer",4,4,,"Automation QA",34,"male","Высшее","НТУУ «КПИ»","False","ниже среднего","до 1000 человек","Продуктовая","Інша"
3509,"Kyiv",2850,500,"Designer",10,1,,,30,"male","Незаконченное высшее","ОНУ им. Мечникова","False","выше среднего","до 10 человек","Аутсорсинговая","E-commerce, Fintech, Legal"
3510,"Kyiv",2850,1500,"Software Engineer",2,"0.25","Dart",,31,"male","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутстаффинговая","Fintech"
3511,"Odessa",2850,500,"QA Engineer",6,4,,"Automation QA",28,"male","Высшее","НметАУ","False","выше среднего","до 1000 человек","Аутсорсинговая","E-commerce, Fintech"
3512,"Kyiv",2850,0,"Software Engineer",10,2,"C",,32,"male","Высшее","ЗНТУ","False","средний","свыше 1000 человек","Аутстаффинговая","Automotive"
3513,"Lviv",2850,1350,"Software Engineer",3,1,"JavaScript",,20,"male","Среднее","Lvivская Политехника","False","средний","до 50 человек","Продуктовая","Machine Learning"
3514,"Lviv",2850,200,"Software Engineer",5,"0.25","Kotlin",,27,"male","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Аутстаффинговая","Logistics, Mobile, Uberfication"
3515,"Kharkiv",2844,507,"Senior Software Engineer",5,4,"C#/.NET",,33,"male","Высшее","НТУ «ХПИ»","False","средний","до 1000 человек","Аутсорсинговая","Telecom"
3516,"Kyiv",2840,200,"Senior QA engineer",6,3,,"Automation QA",26,"male","Высшее","ДонНУ им. Васыля Стуса","False","ниже среднего","до 1000 человек","Продуктовая","E-commerce"
3517,"Луцк",2838,334,"Senior Software Engineer",8,6,"PHP",,31,"male","Высшее","Other вуз","False","ниже среднего","до 10 человек","Аутстаффинговая","Інша"
3518,"Kyiv",2832,0,"Software Engineer",4,1,"C++",,26,"male","Высшее","ЧНТУ","False","выше среднего","до 1000 человек","Продуктовая","GameDev"
3519,"Kharkiv",2815,0,"Project manager",5,1,,,35,"male","Два высших","ХАИ","False","выше среднего","свыше 1000 человек","Аутстаффинговая","High Load Systems"
3520,"Lviv",2812,284,"Business analyst",4,4,,,30,"female","Высшее","ЛНУ им. Франко","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
3521,"Lviv",2810,700,"Senior QA engineer",3,3,,"Automation QA",34,"male","Высшее","Lvivская Политехника","False","средний","свыше 1000 человек","Аутсорсинговая","Fintech"
3522,"Kyiv",2800,1000,"Product Manager",8,"0.5",,,27,"female","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
3523,"Dnipro",2800,0,"Software Engineer",10,4,"C",,42,"male","Высшее","ДНУ им. Гончара","False","выше среднего","до 50 человек","Аутстаффинговая","Embedded"
3524,"Kharkiv",2800,400,"Software Engineer",4,1,"Java",,29,"male","Высшее","ХНЭУ","False","средний","свыше 1000 человек","Аутсорсинговая","E-commerce, Telecom, Travel"
3525,"Kyiv",2800,500,"Data Analyst",4,"0.5",,,30,"male","Два высших","КНУ им. Шевченко","False","выше среднего","до 200 человек","Продуктовая","Blockchain, Data Science, Fintech"
3526,"Ivano-Frankivsk",2800,200,"System Architect",10,4,"Java",,38,"male","Высшее","Other вуз","False","продвинутый","до 200 человек","Аутсорсинговая","Edtech, ERP, Fintech"
3527,"Dnipro",2800,600,"Senior Software Engineer",6,1,"PHP",,29,"male","Высшее","ДонНУ им. Васыля Стуса","False","средний","до 1000 человек","Продуктовая","GameDev"
3528,"Lviv",2800,300,"Senior Software Engineer",3,2,"C++",,24,"male","Высшее","Lvivская Политехника","False","средний","до 200 человек","Аутсорсинговая","Embedded"
3529,"Kyiv",2800,500,"Senior Software Engineer",3,"0.25","PHP",,36,"male","Высшее","Other вуз","False","продвинутый","до 50 человек","Аутстаффинговая","E-commerce, Інша"
3530,"Kharkiv",2800,0,"Senior Software Engineer",10,6,"PHP",,34,"male","Высшее","ХАИ","False","ниже среднего","до 50 человек","Аутстаффинговая","Media"
3531,"Kyiv",2800,400,"Senior Software Engineer",6,1,"JavaScript",,35,"male","Кандидат","НТУУ «КПИ»","False","средний","до 50 человек","Аутсорсинговая","E-commerce"
3532,"Kharkiv",2800,0,"Senior Software Engineer",10,1,"PHP",,31,"male","Техникум / Колледж",,"False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
3533,"Kharkiv",2800,0,"QA Engineer",7,4,,"Automation QA",38,"male","Высшее",,"False","выше среднего","свыше 1000 человек","Аутсорсинговая","E-commerce"
3534,"Odessa",2800,800,"Software Engineer",4,"0.5","Java",,27,"male","Высшее","Other вуз","False","средний","до 1000 человек","Аутстаффинговая","Mobile"
3535,"Odessa",2800,-700,"Software Engineer",6,"0.5","Objective-C",,32,"male","Два высших","НТУУ «КПИ»","False","выше среднего","до 200 человек","Продуктовая","Mobile"
3536,"Kyiv",2800,1700,"Software Engineer",3,1,"TypeScript",,23,"male","Высшее","НТУУ «КПИ»","False","средний","до 200 человек","Продуктовая","Gambling"
3537,"Kyiv",2800,400,"Senior QA engineer",5,1,,"General QA",29,"male","Высшее","Other вуз","False","выше среднего","до 1000 человек","Продуктовая","Gambling"
3538,"Kyiv",2800,800,"QA Engineer",5,"0.5",,"Automation QA",29,"male","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Інша"
3539,"Kyiv",2800,1000,"Senior QA engineer",3,3,,"Manual QA",36,"female","Высшее","Other вуз","False","выше среднего","до 200 человек","Аутсорсинговая","ERP, Fintech"
3540,"Kyiv",2800,1000,"Senior Software Engineer",4,2,"C#/.NET",,25,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Fintech"
3541,"Kyiv",2800,500,"Software Engineer",3,2,"JavaScript",,25,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Big Data, E-commerce, Media"
3542,"Kyiv",2800,600,"Senior QA engineer",10,"0.25",,"General QA",38,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Продуктовая","Blockchain, Gambling"
3543,"Kyiv",2800,250,"QA Manager",4,8,,"General QA",39,"female","Высшее","КНУ им. Шевченко","False","выше среднего","до 50 человек","Аутсорсинговая","Fintech, Geospatial, Logistics"
3544,"Dnipro",2800,137,"QA Tech Lead",7,7,,"Manual QA",33,"male","Два высших","ДНУ им. Гончара","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Fintech"
3545,"Kyiv",2800,300,"Software Engineer",10,"0.5","Kotlin",,41,"male","Высшее","ЗНТУ","False","средний","до 200 человек","Продуктовая","Mobile, Telecom"
3546,"Kyiv",2800,1120,"Senior Software Engineer",4,3,"JavaScript",,28,"male","Высшее","КНУ им. Шевченко","False","продвинутый","до 200 человек","Аутсорсинговая","E-commerce, Mobile"
3547,"Kyiv",2800,0,"Business analyst",7,2,,,32,"female","Высшее","Other вуз","False","продвинутый","свыше 1000 человек","Аутсорсинговая","E-commerce, ERP, Media"
3548,"Kyiv",2800,0,"Senior Software Engineer",10,1,"Ruby/Rails",,32,"male","Высшее","Other вуз","False","продвинутый","до 10 человек","Стартап","Cloud Computing, Geospatial, High Load Systems"
3549,"Kyiv",2800,500,"Business analyst",5,3,,,27,"male","Два высших","КНУ им. Шевченко","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Інша"
3550,"Other",2800,500,"Software Engineer",3,0,"TypeScript",,33,"male","Высшее","Other вуз","False","выше среднего","до 10 человек","Продуктовая","ERP, Fintech"
3551,"Kyiv",2800,0,"Senior Software Engineer",8,4,"C",,28,"female","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Embedded"
3552,"Kyiv",2800,1500,"Junior Software Engineer","0.5",3,"Java",,26,"male","Высшее","НУК","False","средний","до 10 человек","Аутстаффинговая","Big Data, Інша"
3553,"Vinnytsia",2800,500,"Software Engineer",4,2,"JavaScript",,25,"male","Высшее","ВНТУ","False","ниже среднего","до 200 человек","Продуктовая","GameDev"
3554,"Kharkiv",2800,1000,"Team/Technical Lead",3,2,"JavaScript",,24,"male","Высшее","ХНУРЭ","False","средний","до 50 человек","Аутсорсинговая","Geospatial, Media, Інша"
3555,"Kyiv",2800,250,"BI Engineer",6,3,,,28,"male","Высшее","НТУУ «КПИ»","False","средний","свыше 1000 человек","Аутсорсинговая","Big Data, Fintech"
3556,"Kyiv",2800,800,"Senior Software Engineer",4,"0.5","JavaScript",,23,"female","Высшее","НАУ","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Internet of Things"
3557,"Kyiv",2800,-400,"Team/Technical Lead",10,6,"PHP",,39,"male","Высшее","ДонНТУ","False","средний","до 1000 человек","Продуктовая","E-commerce, High Load Systems"
3558,"Луцк",2800,2600,"Senior Software Engineer",8,3,"PHP",,33,"male","Высшее","Other вуз","False","элементарный","свыше 1000 человек","Продуктовая","Edtech"
3559,"Lviv",2800,500,"QA Engineer",5,"0.5",,"Automation QA",27,"female","Высшее","Lvivская Политехника","False","выше среднего","до 1000 человек","Аутсорсинговая","Fintech"
3560,"Dnipro",2800,0,"Senior Software Engineer",8,8,"C++",,29,"male","Высшее","ДНУЖТ","False","ниже среднего","до 1000 человек","Аутсорсинговая","Big Data"
3561,"Kyiv",2800,450,"Software Engineer",3,0,"Python",,23,"male","Высшее","НТУУ «КПИ»","False","средний","до 1000 человек","Аутсорсинговая","Adtech, E-commerce, Insurance"
3562,"Kyiv",2800,200,"Customer Success",5,2,,,28,"male","Среднее",,"False","продвинутый","до 1000 человек","Продуктовая","Інша"
3563,"Odessa",2800,300,"Software Engineer",7,7,"Other",,27,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутстаффинговая","Big Data, Media, Telecom"
