"N","Город","Зарплата.в.месяц","Изменение.зарплаты.за.12.месяцев","Должность","exp","current_job_exp","Язык.программирования","Специализация","Возраст","Пол","Образование","Университет","Еще.студент","Уровень.английского","Размер.компании","Тип.компании","Предметная.область"
37,"Lviv",8000,0,"Software Engineer",10,5,"C#/.NET",,32,"male","Высшее","ЛНУ им. Франко","False","выше среднего","до 10 человек","Другая","Blockchain, Fintech, Medtech"
38,"Kyiv",8000,3000,"Senior Software Engineer",9,2,"TypeScript",,29,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Gambling, Media"
39,"Kyiv",8000,2500,"Team/Technical Lead",6,"0.25","C#/.NET",,24,"male","Высшее","НТУУ «КПИ»","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Fintech, High Load Systems, Mobile"
40,"Lviv",8000,-100,"Junior QA engineer",2,"0.5",,"Manual QA",23,"female","Незаконченное высшее",,"False","средний","до 10 человек","Продуктовая","E-commerce"
41,"Kyiv",8000,0,"Senior Software Engineer",9,4,"Clojure",,28,"male","Высшее","КНУСА","False","выше среднего","до 200 человек","Продуктовая","Blockchain, Fintech, Mobile"
42,"Kyiv",8000,1500,"System Architect",10,"0.5","C#/.NET",,45,"male","Высшее",,"False","выше среднего","до 50 человек","Аутстаффинговая","Cloud Computing, E-commerce"
43,"Lviv",8000,3000,"Senior Software Engineer",8,5,"TypeScript",,27,"male","Незаконченное высшее","ЛНУ им. Франко","False","выше среднего","до 10 человек","Продуктовая","AR/VR, GameDev"
44,"Kharkiv",8000,1600,"Software Engineer",8,2,"JavaScript",,32,"male","Высшее","Other вуз","False","ниже среднего","до 10 человек","Продуктовая","Media"
45,"Kyiv",8000,3000,"Director of Engineering / Program Director",10,7,,,32,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 200 человек","Продуктовая","Інша"
46,"Kyiv",8000,2000,"HR",9,1,,,30,"female","Высшее","КНУ им. Шевченко","False","продвинутый","до 1000 человек","Продуктовая","GameDev"
47,"Kyiv",8000,500,"Director of Engineering / Program Director",10,1,,,34,"male","Высшее","НТУУ «КПИ»","False","продвинутый","до 50 человек","Аутсорсинговая","Logistics"
48,"Odessa",8000,500,"Project manager",7,4,,,30,"male","Среднее",,"False","средний","до 10 человек","Другая","Gambling, GameDev"
49,"Vinnytsia",8000,8000,"QA Engineer","0.5",0,,"Manual QA",23,"female","Два высших","ХНУ им. Каразина","False","средний","до 1000 человек","Аутсорсинговая","GameDev"
50,"Kyiv",8000,0,"Senior Software Engineer",5,"0.5","TypeScript",,24,"male","Высшее","Other вуз","False","выше среднего","свыше 1000 человек","Аутсорсинговая","Інша"
51,"Kyiv",8000,0,"System Architect",10,2,"Java",,36,"male","Высшее","Other вуз","False","средний","до 200 человек","Аутстаффинговая","Telecom"
52,"Kyiv",8000,0,"Senior Software Engineer",10,2,"Ruby/Rails",,33,"male","Высшее","ДонНУ им. Васыля Стуса","False","продвинутый","до 10 человек","Продуктовая","Cloud Computing"
53,"Other",7800,800,"System Architect",9,5,"Python",,29,"female","Высшее","НТУУ «КПИ»","False","выше среднего","до 1000 человек","Продуктовая","Logistics"
54,"Kyiv",7600,300,"Software Engineer",10,1,"Objective-C",,34,"male","Высшее","ДонНТУ","False","продвинутый","свыше 1000 человек","Продуктовая","Internet of Things"
55,"Kyiv",7600,1000,"Director of Engineering / Program Director",10,10,,,36,"male","Высшее","НТУУ «КПИ»","False","продвинутый","свыше 1000 человек","Аутсорсинговая","Fintech"
56,"Kyiv",7500,400,"Director of Engineering / Program Director",10,2,,,30,"male","Высшее","Other вуз","False","продвинутый","до 50 человек","Продуктовая","Big Data, High Load Systems, Mobile"
57,"Mykolaiv",7500,1000,"DevOps",8,3,,,30,"male","Высшее","Other вуз","False","средний","до 50 человек","Продуктовая","Automotive, Big Data, Logistics"
58,"Dnipro",7500,500,"Senior Project manager / Program Manager",10,10,,,40,"male","Высшее",,"False","выше среднего","до 50 человек","Продуктовая","Fintech, High Load Systems"
